x y
 -2.77978  -7.9169  
 -2.39431  -8.05408 
 -2.08799  -7.9208  
 -1.62685  -7.14882 
 -1.16624  -6.29137 
 -0.511669 -5.77457 
 0.308758 -5.48461 
 1.07667  -5.5653  
 1.84917  -6.38663 
 2.29332  -7.29543 
 2.57086  -7.62787 
 2.97121  -7.77365 
 3.36917  -7.53394 
 3.62245  -6.96893 
 3.61694  -6.07933 
 3.55326  -5.01213 
 3.31839  -3.94601 
 3.05592  -3.02833 
 2.7073   -2.02224 
 2.41629  -1.10474 
 2.52472  -0.184767
 2.77653   0.617483
 3.28328   1.71785 
 3.8493    2.46274 
 4.52943   3.20832 
 5.15214   4.01286 
 5.71794   4.75906 
 6.21865   5.52097 
 6.6485    6.128   
 7.15974   6.84583 
 6.87557   7.41025 
 6.47512   7.82827 
 6.        8.      
5.        8.      
4.        8.      
3.        8.      
2.        8.      

Orange Cone Positions
1.1 9.4
1.1 7.6
1.4 9.4
1.4 7.6


